"id","exam_id","question_id","module_type","question_number"
"120","22744096-2398-4af4-bbfa-6a0cbd4abdea","717c6f40-ecdf-4f31-a85d-1948a954dcde","english1","1"
"121","22744096-2398-4af4-bbfa-6a0cbd4abdea","b6a2e464-3488-4c08-93ea-afb3b91ce1ea","english1","2"
"122","22744096-2398-4af4-bbfa-6a0cbd4abdea","96c1d0e2-8f4a-4513-99d0-01255137779f","english1","3"
"123","22744096-2398-4af4-bbfa-6a0cbd4abdea","1af15599-6c28-4d34-93d8-d8fe6fd55d36","english1","4"
"124","22744096-2398-4af4-bbfa-6a0cbd4abdea","bdbebc08-a291-4be6-bbe0-be6150491c4d","english1","5"
"125","22744096-2398-4af4-bbfa-6a0cbd4abdea","c16a91d1-5bb0-4c4a-8967-d03af7e15862","english1","6"
"126","22744096-2398-4af4-bbfa-6a0cbd4abdea","e4be1113-d570-4d18-8e1e-a7b62d1a2e86","english1","7"
"127","22744096-2398-4af4-bbfa-6a0cbd4abdea","9661dc10-1e4a-425b-a4f5-8c4f58564149","english1","8"
"128","22744096-2398-4af4-bbfa-6a0cbd4abdea","7799e17b-4cdf-4cdc-bb7e-5087d39237aa","english1","9"
"129","22744096-2398-4af4-bbfa-6a0cbd4abdea","1b8e0d6e-3589-4c9f-b9eb-4af2e03cdd99","english1","10"
"130","22744096-2398-4af4-bbfa-6a0cbd4abdea","f5a9e4ed-12dc-4619-9f0c-da8c998f7655","english1","11"
"131","22744096-2398-4af4-bbfa-6a0cbd4abdea","6ce985ac-4659-4516-b768-42f70bfe5f5e","english1","12"
"132","22744096-2398-4af4-bbfa-6a0cbd4abdea","34b6ac57-cafd-4c43-b55a-234dd3d82172","english1","13"
"133","22744096-2398-4af4-bbfa-6a0cbd4abdea","73532ea6-197c-4c5d-9b65-85afd25dbffb","english1","14"
"134","22744096-2398-4af4-bbfa-6a0cbd4abdea","1c5973b3-571c-4b62-8f53-87419333ea72","english1","15"
"135","22744096-2398-4af4-bbfa-6a0cbd4abdea","f776e10a-8a1a-4bb7-9157-db6f52c8dff1","english1","16"
"136","22744096-2398-4af4-bbfa-6a0cbd4abdea","c8ea0e1c-3e13-4562-b6c6-eee9c23086f5","english1","17"
"137","22744096-2398-4af4-bbfa-6a0cbd4abdea","a7256bfd-209f-4e73-b768-b664d1cd4f8e","english1","18"
"138","22744096-2398-4af4-bbfa-6a0cbd4abdea","5558b964-912c-495e-9a74-187e25e605c1","english1","19"
"139","22744096-2398-4af4-bbfa-6a0cbd4abdea","2d34dd64-544a-4569-8bce-b049a04a5761","english1","20"
"140","22744096-2398-4af4-bbfa-6a0cbd4abdea","49f79d58-a1aa-4a89-8a2f-b9efa070d4fd","english1","21"
"141","22744096-2398-4af4-bbfa-6a0cbd4abdea","9a29f451-7740-4ebc-81d3-0e6447809b67","english1","22"
"142","22744096-2398-4af4-bbfa-6a0cbd4abdea","211af6c3-58c5-4974-b13a-b935d427c138","english1","23"
"143","22744096-2398-4af4-bbfa-6a0cbd4abdea","e013d222-b43b-49f5-a334-68234fc5c9da","english1","24"
"144","22744096-2398-4af4-bbfa-6a0cbd4abdea","c118bc54-3b8a-4065-92f9-db2e3730dd1f","english1","25"
"145","22744096-2398-4af4-bbfa-6a0cbd4abdea","66513b1d-9800-4dd3-b273-832207b38877","english1","26"
"146","22744096-2398-4af4-bbfa-6a0cbd4abdea","54b33080-a01d-406d-ba10-a7414a90856b","english1","27"
"147","22744096-2398-4af4-bbfa-6a0cbd4abdea","f1cb2c4a-8ed8-47c1-a68f-47d2914c3500","english2","1"
"148","22744096-2398-4af4-bbfa-6a0cbd4abdea","89ade8a5-c352-4454-99ef-8cf210f97658","english2","2"
"149","22744096-2398-4af4-bbfa-6a0cbd4abdea","4f2f345b-fab6-4a82-9d6f-a6328f7afa27","english2","3"
"150","22744096-2398-4af4-bbfa-6a0cbd4abdea","b4e2b639-e402-408a-a508-42e8321a9782","english2","4"
"151","22744096-2398-4af4-bbfa-6a0cbd4abdea","1a484388-53a1-4e4b-9efa-00911d217bf1","english2","5"
"152","22744096-2398-4af4-bbfa-6a0cbd4abdea","c14220ff-b2b8-46fe-ae30-d409887d94e9","english2","6"
"153","22744096-2398-4af4-bbfa-6a0cbd4abdea","333119b0-851b-4349-b034-1572efefae1e","english2","7"
"154","22744096-2398-4af4-bbfa-6a0cbd4abdea","02620ba9-4207-4528-bfd4-ad1bdfdcbf99","english2","8"
"155","22744096-2398-4af4-bbfa-6a0cbd4abdea","df50fb85-8dac-4d17-814a-dcf3259d975f","english2","9"
"156","22744096-2398-4af4-bbfa-6a0cbd4abdea","594992f0-f348-4654-8a9a-1cfd3a7f9857","english2","10"
"157","22744096-2398-4af4-bbfa-6a0cbd4abdea","d7893577-0407-4b4b-8af7-2a14a840321a","english2","11"
"158","22744096-2398-4af4-bbfa-6a0cbd4abdea","f0c49c61-78af-4279-adec-2e42d6b0ac88","english2","12"
"159","22744096-2398-4af4-bbfa-6a0cbd4abdea","a5a37fa0-e8ea-437c-8601-2296e2947ef3","english2","13"
"160","22744096-2398-4af4-bbfa-6a0cbd4abdea","8abdda4e-0eb7-493f-9bf8-41d872dee10e","english2","14"
"161","22744096-2398-4af4-bbfa-6a0cbd4abdea","c4b202e8-aaf5-4bf8-9542-13df7aba8f49","english2","15"
"162","22744096-2398-4af4-bbfa-6a0cbd4abdea","4fac9692-c4b8-4e09-99b0-ee804f6adcaf","english2","16"
